sampleTime,Native Heap Size,Native Heap Alloc,Native Heap Free
2019-03-08 17:39:51,160148,155372,2683
2019-03-08 17:39:54,160148,155371,2684
2019-03-08 17:39:57,160148,155373,2682
2019-03-08 17:39:59,160148,155370,2685
2019-03-08 17:40:02,160148,155373,2682
2019-03-08 17:40:04,160148,155374,2681
2019-03-08 17:40:07,160148,155384,2668
2019-03-08 17:40:09,160148,155387,2668
2019-03-08 17:40:12,160148,155385,2670
